Destinasi,Rule_Score,Content_Score,Hybrid_Score,Rank_Rule,Rank_Hybrid,Delta_Rank,Movement,Rule_Contribution,Content_Contribution,Rank,Recommendation_Score,Recommendation_Label
Gunung Gajah ,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,184,18.46,Alternatif
Hutan Pinus Asri,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,185,18.46,Alternatif
Museum Memorial Jendral Besar HM Soeharto,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,186,18.46,Alternatif
Pantai Somandeng,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,187,18.46,Alternatif
Grojogan Watu Purba ,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,188,18.46,Alternatif
History Of Java Museum (HOJ),0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,189,18.46,Alternatif
Situs Mangir Ki Ageng,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,190,18.46,Alternatif
Bukit Penguk Kediwung,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,191,18.46,Alternatif
Pantai Nampu,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,192,18.46,Alternatif
Pantai Grigak,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,193,18.46,Alternatif
Gua Pindul,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,194,18.46,Alternatif
Museum Tani Jawa Indonesia,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,195,18.46,Alternatif
Watu Amben,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,196,18.46,Alternatif
Museum Purbakala Taman Wisata Prambanan,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,197,18.46,Alternatif
Pantai Timang,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,198,18.46,Alternatif
Museum Gumuk Pasir Parangtritis Geomaritim Science Park,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,199,18.46,Alternatif
Makam Nyi Ageng Serang ,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,200,18.46,Alternatif
Pantai Krakal,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,201,18.46,Alternatif
Monumen Perjuangan Taruna (Plataran),0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,202,18.46,Alternatif
Pantai Bidara,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,203,18.46,Alternatif
Situs Surocolo/ Gua Sunan Mas,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,204,18.46,Alternatif
Mahaloka Paradise ,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,205,18.46,Alternatif
Museum Biologi,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,206,18.46,Alternatif
Pantai Ngedan ,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,207,18.46,Alternatif
Pantai Buron,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,208,18.46,Alternatif
Pantai Glagah,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,209,18.46,Alternatif
Candi Gebang,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,210,18.46,Alternatif
Pantai Slili,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,211,18.46,Alternatif
Gua Cerme,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,212,18.46,Alternatif
Pantai Sundak,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,213,18.46,Alternatif
Geoforest Watu Payung Turunan,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,214,18.46,Alternatif
Pantai Srakung,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,215,18.46,Alternatif
Air Terjun Grojogan Sewu,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,216,18.46,Alternatif
Gunung Pinus Pengger,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,217,18.46,Alternatif
Monumen Jogja Kembali,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,218,18.46,Alternatif
Air Terjun Kedung Pedut,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,219,18.46,Alternatif
Lembah Kars Mulo (Watu Mabur Lemahbang Rock Cliff),0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,220,18.46,Alternatif
Pantai Ngrenehan ,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,221,18.46,Alternatif
Puncak Kleco,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,222,18.46,Alternatif
Bukit Wisata Pule Payung,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,223,18.46,Alternatif
Sendang Beji,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,224,18.46,Alternatif
Petilasan Gunung Gambar ,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,225,18.46,Alternatif
Pantai Sanglen,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,226,18.46,Alternatif
Pantai Seruni,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,227,18.46,Alternatif
Kawasan Gua Cerme,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,228,18.46,Alternatif
Pantai Krokoh,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,229,18.46,Alternatif
Pantai Torohudan ,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,230,18.46,Alternatif
Situs Gembirowati,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,231,18.46,Alternatif
Candi Sari,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,232,18.46,Alternatif
Tembi Rumah Budaya,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,233,18.46,Alternatif
