Destinasi,Rule_Score,Content_Score,Hybrid_Score,Rank_Rule,Rank_Content,Rank_Hybrid,Delta_Rank
Pantai Bekah,0.0,0.0,0.0,1,57,57,-56
Museum Kereta Kraton/ Museum Wahanarata,0.0,0.0,0.0,1,57,57,-56
Museum Peta ,0.0,0.0,0.0,1,57,57,-56
Mangrove Wanatirta,0.0,0.0,0.0,1,57,57,-56
Pantai Sepanjang ,0.0,0.0,0.0,1,57,57,-56
Wisata Alam Watu Gendong Beji ,0.0,0.0,0.0,1,57,57,-56
Museum Gunung Api Merapi,0.0,0.0,0.0,1,57,57,-56
Taman Nasional Gunung Merapi,0.0,0.0,0.0,1,57,57,-56
Tembi Rumah Budaya,0.0,0.0,0.0,1,57,57,-56
Pantai Gesing,0.0,0.0,0.0,1,57,57,-56
Bukit Turgo,0.0,0.0,0.0,1,57,57,-56
Plunyon Kalikuning,0.0,0.0,0.0,1,57,57,-56
Pantai Ngandong,0.0,0.0,0.0,1,57,57,-56
Pantai Mlarangan Asri,0.0,0.0,0.0,1,57,57,-56
Air Terjun Kembang Soka,0.0,0.0,0.0,1,57,57,-56
Pintu Langit Dahromo,0.0,0.0,0.0,1,57,57,-56
Bukit Mintorogo,0.0,0.0,0.0,1,57,57,-56
Museum Pergerakan Wanita Indonesia,0.0,0.0,0.0,1,57,57,-56
Gua Kebon,0.0,0.0,0.0,1,57,57,-56
Bukit Mojo Gumelem,0.0,0.0,0.0,1,57,57,-56
Museum Anaia Alisha,0.0,0.0,0.0,1,57,57,-56
Puncak Becici,0.0,0.0,0.0,1,57,57,-56
Bukit lintang sewu,0.0,0.0,0.0,1,57,57,-56
Masjid Gedhe Mataram,0.0,0.0,0.0,1,57,57,-56
Gua Jepang ,0.0,0.0,0.0,1,57,57,-56
Wisata Outbond Gunung Mungker,0.0,0.0,0.0,1,57,57,-56
Pantai Somandeng,0.0,0.0,0.0,1,57,57,-56
Monumen Jogja Kembali,0.0,0.0,0.0,1,57,57,-56
Tankaman Kaliurang,0.0,0.0,0.0,1,57,57,-56
Kebun Teh Nglinggo,0.0,0.0,0.0,1,57,57,-56
Kebun Buah Mangunan,0.0,0.0,0.0,1,57,57,-56
Air Terjun Grojogan Sewu,0.0,0.0,0.0,1,57,57,-56
Gunung Pinus Pengger,0.0,0.0,0.0,1,57,57,-56
