dest1,dest2,similarity,jenis1,jenis2
Tembi Rumah Budaya,Gunung Gamping,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Jlamprong ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Laguna Pantai Trisik dan Pantai Trisik,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Pari,0.47689724169351244,Budaya,Alam
Wisata Alam Kalibiru,Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.47689724169351244,Alam,Budaya
Wisata Alam Kalibiru,Museum Wayang Kekayon,0.47689724169351244,Alam,Budaya
Taman Nasional Gunung Merapi,Museum Gerabah Kasongan,0.47689724169351244,Alam,Budaya
Taman Nasional Gunung Merapi,Museum Serat Holistik Kehidupan Susilawati Susmoni,0.47689724169351244,Alam,Budaya
Gua Maria Tritis,Pantai Watu Lawang,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Gua Ngingrong dan Lembah Karst Ngingrong ,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Glamping Menoreh,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Kawasan Gua Cerme,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Kalisuci Cave Tubing,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Bidara,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Kampung Jelok,0.47689724169351244,Budaya,Alam
Pantai Gua Cemara,Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.47689724169351244,Alam,Budaya
Pantai Gua Cemara,Museum Wayang Kekayon,0.47689724169351244,Alam,Budaya
Bukit lintang sewu,Museum Batik,0.47689724169351244,Alam,Budaya
Gua Maria Tritis,Gardu Pandang Kaliurang,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Permoni,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Rencang Kencono,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Kwaru,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Jomblang,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Tapan,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Watu Giring,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Baru,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Arus Progo Rafting ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Bugel Kulon Progo,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Mangrove Jembatan api- Api,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Gua Cerme,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Mahaloka Paradise ,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Gua Tanding,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Potrobayan,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Pandansimo,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Buron,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Glagah,0.47689724169351244,Budaya,Alam
Pantai Gua Cemara,Kraton,0.47689724169351244,Alam,Budaya
Museum Serat Holistik Kehidupan Susilawati Susmoni,Gua Pari,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Pantai Kwaru,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Sriti ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Wisata Alam Kali Gowang ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Batu Alien ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Pindul,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Gua Cemara,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Air Terjun Luweng Sampang,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Timang,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Kidang Kencono,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Samas,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Pandansari,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Wisata Klayar (Desa Wisata),0.47689724169351244,Budaya,Alam
