title,jumlah_ulasan,rating,jumlah_positif,jumlah_netral,jumlah_negatif,rasio_positif,rasio_netral,rasio_negatif,skor_sentimen,skor_sentimen_norm
Situs Warungboto,38,4.763157895,13,6,19,0.342105263,0.157894737,0.5,-0.157894737,0.421052632
Stone Valley,48,4.25,19,9,20,0.395833333,0.1875,0.416666667,-0.020833333,0.489583333
Sungai Mudal,49,4.857142857,21,4,24,0.428571429,0.081632653,0.489795918,-0.06122449,0.469387755
Suraloka Interactive Zoo,65,4.907692308,29,10,26,0.446153846,0.153846154,0.4,0.046153846,0.523076923
Tahura Bunder,34,4.147058824,15,4,15,0.441176471,0.117647059,0.441176471,0,0.5
Taman Jamu Naturindo,83,4.915662651,61,4,18,0.734939759,0.048192771,0.21686747,0.518072289,0.759036145
Taman Nasional Gunung Merapi,46,4.847826087,22,3,21,0.47826087,0.065217391,0.456521739,0.02173913,0.510869565
Taman Pintar,70,4.614285714,28,4,38,0.4,0.057142857,0.542857143,-0.142857143,0.428571429
Taman Sari Kraton Yogyakarta,47,4.680851064,18,7,22,0.382978723,0.14893617,0.468085106,-0.085106383,0.457446809
Taman Tebing Breksi,41,4.658536585,24,3,14,0.585365854,0.073170732,0.341463415,0.243902439,0.62195122
Tankaman Kaliurang,51,4.62745098,22,4,25,0.431372549,0.078431373,0.490196078,-0.058823529,0.470588235
Telaga Jonge,49,4.224489796,21,4,24,0.428571429,0.081632653,0.489795918,-0.06122449,0.469387755
Telaga Kemuning,55,4.345454545,28,2,25,0.509090909,0.036363636,0.454545455,0.054545455,0.527272727
Tembi Rumah Budaya,38,4.736842105,18,6,14,0.473684211,0.157894737,0.368421053,0.105263158,0.552631579
Teras Kaca,59,3.847457627,25,4,30,0.423728814,0.06779661,0.508474576,-0.084745763,0.457627119
Teras Merapi,47,4.553191489,30,5,12,0.638297872,0.106382979,0.255319149,0.382978723,0.691489362
The Manglung View,56,4.267857143,23,3,30,0.410714286,0.053571429,0.535714286,-0.125,0.4375
The World Landmark Merapi Park,52,3.596153846,18,6,28,0.346153846,0.115384615,0.538461538,-0.192307692,0.403846154
Tlogo Muncar,55,4.509090909,22,4,29,0.4,0.072727273,0.527272727,-0.127272727,0.436363636
Tritis Saint Mary's Grotto - Gunungkidul Regency,49,4.979591837,22,9,18,0.448979592,0.183673469,0.367346939,0.081632653,0.540816327
Turgo Plawangan ,2,5,1,0,1,0.5,0,0.5,0,0.5
Waduk Sermo,49,4.734693878,26,6,17,0.530612245,0.12244898,0.346938776,0.183673469,0.591836735
Wana Delima Orchard,54,4.574074074,18,5,31,0.333333333,0.092592593,0.574074074,-0.240740741,0.37962963
Waterboom Jogja,64,3.46875,11,9,44,0.171875,0.140625,0.6875,-0.515625,0.2421875
Waterbyur,44,3.522727273,12,8,24,0.272727273,0.181818182,0.545454545,-0.272727273,0.363636364
Watu Amben,42,4.80952381,29,1,12,0.69047619,0.023809524,0.285714286,0.404761905,0.702380952
Watu Giring,34,4.117647059,9,5,20,0.264705882,0.147058824,0.588235294,-0.323529412,0.338235294
Watu Goyang,41,4.853658537,26,1,14,0.634146341,0.024390244,0.341463415,0.292682927,0.646341463
Watu Jagal,52,3.75,13,3,36,0.25,0.057692308,0.692307692,-0.442307692,0.278846154
Wisata Alam Kali Gowang,16,4.5625,6,0,10,0.375,0,0.625,-0.25,0.375
Wisata Alam Kalibiru,42,4.285714286,17,4,21,0.404761905,0.095238095,0.5,-0.095238095,0.452380952
Wisata Alam Kedung Banteng,30,4.3,15,4,11,0.5,0.133333333,0.366666667,0.133333333,0.566666667
Wisata Alam Kembang Soka,14,4.857142857,6,0,8,0.428571429,0,0.571428571,-0.142857143,0.428571429
Wisata Alam Watu Gendong Beji,48,4.666666667,23,5,20,0.479166667,0.104166667,0.416666667,0.0625,0.53125
Wisata Bojong Asri,57,4.877192982,30,6,21,0.526315789,0.105263158,0.368421053,0.157894737,0.578947368
Wisata Bukit Watugede,20,4.4,12,2,6,0.6,0.1,0.3,0.3,0.65
Wisata Klayar,51,3.980392157,23,6,22,0.450980392,0.117647059,0.431372549,0.019607843,0.509803922
Wisata Outbond Gunung Mungker,41,4.487804878,20,8,13,0.487804878,0.195121951,0.317073171,0.170731707,0.585365854
Wisata Wayang Wukirsari,33,5,18,7,8,0.545454545,0.212121212,0.242424242,0.303030303,0.651515152
Wunung Giriselokondo,44,4.704545455,23,7,14,0.522727273,0.159090909,0.318181818,0.204545455,0.602272727
