title,rata2_bintang,std_bintang,jumlah_ulasan,rasio_positif,rasio_netral,rasio_negatif,confidence_avg,skor_rekomendasi
Museum Gempa Prof Dr Sarwidi,4.578947368421052,0.7215441005558437,38,0.4473684210526316,0.10526315789473684,0.4473684210526316,0.8537175751896262,0.6815789473684211
Situs Mangir Ki Ageng,4.625,0.6090712125322324,32,0.4375,0.125,0.4375,0.88883394207382,0.68125
Petilasan Kembang Lampir,4.861111111111111,0.4244510927759877,36,0.3888888888888889,0.25,0.3611111111111111,0.8338752583194657,0.6805555555555555
Pantai Ngandong,4.688888888888889,0.7926429387074789,45,0.4222222222222222,0.13333333333333333,0.4444444444444444,0.8639471790446749,0.68
Wisata Alam Kedung Banteng,4.3,1.2359555845161068,30,0.5,0.13333333333333333,0.36666666666666664,0.8903216246016946,0.6799999999999999
Pantai Mlarangan Asri,4.618181818181818,0.7815205760403309,55,0.43636363636363634,0.10909090909090909,0.45454545454545453,0.8916316073510459,0.6799999999999999
 Museum Dirgantara,4.925,0.2667467828369186,40,0.375,0.1,0.525,0.8674370477964647,0.6799999999999999
Monumen Yogya Kembali,4.8,0.6076436202502,40,0.4,0.125,0.475,0.8765519229900743,0.6799999999999999
Pantai Sepanjang,4.508474576271187,0.9715412809291154,59,0.4576271186440678,0.0847457627118644,0.4576271186440678,0.8722934688715076,0.6796610169491526
Museum Wahanarata,4.916666666666667,0.2793101938654641,48,0.375,0.020833333333333332,0.6041666666666666,0.9051514850457091,0.6791666666666667
Diorama Arsip Jogja,4.916666666666667,0.5773502691896256,48,0.375,0.08333333333333333,0.5416666666666666,0.8779606274371327,0.6791666666666667
Tankaman Kaliurang,4.627450980392157,0.9992153784590286,51,0.43137254901960786,0.0784313725490196,0.49019607843137253,0.8813050687257385,0.6784313725490196
Candi Gebang,4.838709677419355,0.7347005827114602,31,0.3870967741935484,0.0967741935483871,0.5161290322580645,0.8608587874042373,0.6774193548387097
Pantai Parangendog,4.631578947368421,0.9421382417521514,38,0.42105263157894735,0.13157894736842105,0.4473684210526316,0.8654520239798464,0.6736842105263158
Kebun Teh Tritis,4.2368421052631575,0.8833049281064096,38,0.5,0.05263157894736842,0.4473684210526316,0.8957623406267363,0.6736842105263158
Gembira Loka Zoo,4.825396825396825,0.6848518214979896,63,0.38095238095238093,0.09523809523809523,0.5238095238095238,0.8819291845385091,0.673015873015873
Goa Braholo Pj,4.482758620689655,1.0219270890672478,29,0.4482758620689655,0.1724137931034483,0.3793103448275862,0.859997310838102,0.6724137931034482
Bukit Lintang Sewu,4.52,0.931095470674304,50,0.44,0.12,0.44,0.8792649408474681,0.6719999999999999
Makam Raja-Raja Mataram Kotagede,4.818181818181818,0.523570314404736,66,0.3787878787878788,0.09090909090909091,0.5303030303030303,0.8612119962985814,0.6712121212121211
Pantai Kesirat,4.709090909090909,0.8316143887538813,55,0.4,0.12727272727272726,0.4727272727272727,0.8703336966084468,0.6709090909090909
Hutan Pinus Asri,4.325,1.0225032129596565,40,0.475,0.1,0.425,0.8733925479489708,0.6699999999999999
Candi Kalasan,4.604651162790698,0.6225728063646903,43,0.4186046511627907,0.23255813953488372,0.3488372093023256,0.8512846387350206,0.6697674418604651
Gua Jepang,4.5,0.899172196132572,48,0.4375,0.0625,0.5,0.8965341683620762,0.66875
Gunung Ireng,4.853658536585366,0.3578390427102734,41,0.36585365853658536,0.24390243902439024,0.3902439024390244,0.8457729134460473,0.6682926829268292
Bukit Turgo,4.786885245901639,0.486989188735597,61,0.3770491803278688,0.11475409836065574,0.5081967213114754,0.8714355266578766,0.6672131147540983
Makam Raja-Raja Imogiri,4.871794871794871,0.33868842842937047,39,0.358974358974359,0.1794871794871795,0.46153846153846156,0.8404117020034115,0.6666666666666666
Air Terjun Kembang Soka,4.7272727272727275,0.5852304798861194,44,0.38636363636363635,0.11363636363636363,0.5,0.8610492300029481,0.665909090909091
Monumen Perjuangan Taruna (Plataran),4.65,0.6621642835894569,40,0.4,0.175,0.425,0.8386346519572297,0.665
Obelix Sea View,4.4,1.1723305738395524,40,0.45,0.15,0.4,0.8790386886658963,0.665
Candi Sambisari,4.682926829268292,0.9337832829474915,41,0.3902439024390244,0.1951219512195122,0.4146341463414634,0.8413800501415297,0.6634146341463414
Pantai Congot,4.482142857142857,0.894245673556951,56,0.42857142857142855,0.08928571428571429,0.48214285714285715,0.8961928160472666,0.6625
Taman Pintar,4.614285714285714,0.996993409814353,70,0.4,0.05714285714285714,0.5428571428571428,0.8874249850471316,0.6614285714285715
Gunung Api Purba Nglanggeran,4.8936170212765955,0.3116605283339056,47,0.3404255319148936,0.14893617021276595,0.5106382978723404,0.8773751964081935,0.6595744680851063
Taman Sari Kraton Yogyakarta,4.680851063829787,0.8104315269931791,47,0.3829787234042553,0.14893617021276595,0.46808510638297873,0.8778360476521447,0.6595744680851063
Pantai Banyutibo,4.803571428571429,0.519427757060782,56,0.35714285714285715,0.10714285714285714,0.5357142857142857,0.8816528641505104,0.6589285714285714
Gua Maria Sendangsono,4.823529411764706,0.7164977208318386,34,0.35294117647058826,0.08823529411764706,0.5588235294117647,0.8897498270963813,0.6588235294117647
Museum Serat Holistik Kehidupan Susilawati Susmoni,4.862068965517241,0.7427813527082074,29,0.3448275862068966,0.10344827586206896,0.5517241379310345,0.8828470707016708,0.6586206896551724
Bukit Panguk Kediwung,4.2682926829268295,1.1624196798898074,41,0.4634146341463415,0.07317073170731707,0.4634146341463415,0.8756766356835192,0.6585365853658537
Museum Pergerakan Wanita Indonesia,4.7368421052631575,0.5619514869490163,19,0.3684210526315789,0.10526315789473684,0.5263157894736842,0.8817166441686924,0.6578947368421052
Embung Batara Sriten,4.722222222222222,0.6563669781935203,54,0.37037037037037035,0.037037037037037035,0.5925925925925926,0.8890961069066294,0.6574074074074074
Bendungan Kamijoro,4.444444444444445,0.9898474527915802,45,0.4222222222222222,0.08888888888888889,0.4888888888888889,0.8918030341209721,0.6555555555555556
Goa Gajah Lemahbang,4.2727272727272725,1.4206272622267315,11,0.45454545454545453,0.0,0.5454545454545454,0.9158433708099679,0.6545454545454545
Mahaloka Paradise,4.34,1.0806271799472824,50,0.44,0.06,0.5,0.9002693465570383,0.654
Pantai Timang,4.7,1.02216808119159,30,0.36666666666666664,0.23333333333333334,0.4,0.8417886405020788,0.6533333333333333
Museum Jenderal Sudirman,4.65625,0.6530017536902796,32,0.375,0.09375,0.53125,0.8831672472308857,0.653125
Pantai Bidara,4.5625,0.7532996199788748,64,0.390625,0.125,0.484375,0.8823827687026417,0.6515625
Tlogo Muncar,4.509090909090909,0.9403058460815207,55,0.4,0.07272727272727272,0.5272727272727272,0.9066755354389519,0.6509090909090909
Pantai Kukup,4.714285714285714,0.5961549268974563,42,0.35714285714285715,0.09523809523809523,0.5476190476190477,0.8846505914814339,0.65
Goa Ngingrong,4.6,0.6717752982077051,40,0.375,0.2,0.425,0.8353980720684261,0.6475
Situs Warungboto,4.7631578947368425,0.6339157811876048,38,0.34210526315789475,0.15789473684210525,0.5,0.8737639980399943,0.6473684210526316
Pantai Nguyahan,4.63265306122449,0.8340133280065235,49,0.3673469387755102,0.10204081632653061,0.5306122448979592,0.8821666500671002,0.6469387755102041
Pantai Gua Cemara,4.2444444444444445,1.1511961280566076,45,0.4444444444444444,0.13333333333333333,0.4222222222222222,0.8756396226570914,0.6466666666666667
Goa Jlamprong ꧋ꦒꦺꦴꦮꦗ꧀ꦭꦩ꧀ꦥꦿꦺꦴꦁ,4.133333333333334,1.1872336794093274,15,0.4666666666666667,0.13333333333333333,0.4,0.8502821017042475,0.6466666666666667
Gunung Gamping,4.885714285714286,0.4037638048216231,35,0.3142857142857143,0.2,0.4857142857142857,0.8432236878495466,0.6457142857142857
